HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: csrss.exe,"LastDetectionTime: ",KeyName: ReflectionApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: dwm.exe,"LastDetectionTime: ",KeyName: ReflectionApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: explorer.exe,"LastDetectionTime: ",KeyName: ReflectionApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: gadgethost.exe,"LastDetectionTime: ",KeyName: ReflectionApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: mobsync.exe,"LastDetectionTime: ",KeyName: ReflectionApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: msascui.exe,"LastDetectionTime: ",KeyName: ReflectionApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: sidebar.exe,"LastDetectionTime: ",KeyName: ReflectionApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: splwow64.exe,"LastDetectionTime: ",KeyName: ReflectionApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: winlogon.exe,"LastDetectionTime: ",KeyName: ReflectionApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,Run (SYSTEM),Autoruns,ROOT\Microsoft\Windows\CurrentVersion\Run,SecurityHealth,RegExpandSz,%windir%\system32\SecurityHealthSystray.exe,,,Program execution upon successful user logon,False,False,2025-02-04 08:37:05.0482095,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,Run (SYSTEM),Autoruns,ROOT\Microsoft\Windows\CurrentVersion\Run,VMware User Process,RegSz,"""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"" -n vmusr",,,Program execution upon successful user logon,False,False,2025-02-04 08:37:05.0482095,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RunOnce (SYSTEM),Autoruns,ROOT\Microsoft\Windows\CurrentVersion\RunOnce,,,,,,Program execution upon successful user logon,False,False,2022-05-07 05:27:58.5885052,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,Startup Programs,Autoruns,ROOT\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run,SecurityHealth,RegBinary,04-00-00-00-00-00-00-00-00-00-00-00,,,Displays list of programs that start up upon system boot,True,False,2025-02-05 00:10:00.4262921,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,Startup Programs,Autoruns,ROOT\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run32,,,,,,Displays list of programs that start up upon system boot,True,False,2025-03-09 12:42:59.8555244,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,Startup Programs,Autoruns,ROOT\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\StartupFolder,,,,,,Displays list of programs that start up upon system boot,True,False,2025-03-09 12:42:59.8555244,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,Scheduled Tasks (TaskCache),Autoruns,ROOT\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks,,(plugin),Created on: 2025-02-05 00:09:15.8563899,"Last start: 2025-03-10 01:35:15.7970734, Last stop: 2025-03-10 01:35:17.0613262",Path: \Microsoft\Windows\Application Experience\PcaPatchDbTask,Displays Scheduled Tasks and their last start/stop time,False,False,2025-03-09 06:26:52.2791660,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_TaskCache__SOFTWARE.csv
