CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
112,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000b096900190000	000a000055f00000	8664	Microsoft.ScreenSketch	8wekyb3d8bbwe	,AppCompatCache,
113,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000000	0002a41723290000	000a000047ba0000	8664	Microsoft.UI.Xaml.2.4	8wekyb3d8bbwe	,AppCompatCache,
114,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,AppCompatCache,2023-10-01 06:43:19.8145363
115,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\cleanmgr.exe,AppCompatCache,2022-05-07 05:20:03.4648408
116,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,AppCompatCache,2023-10-01 06:43:19.8145363
117,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe,AppCompatCache,2023-10-01 06:43:19.1895434
118,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe,AppCompatCache,2023-10-01 06:43:19.1895434
119,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\NGenTask.exe,AppCompatCache,2022-05-07 05:20:29.4416674
120,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe,AppCompatCache,2022-05-07 05:20:25.9882992
121,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\sdiagnhost.exe,AppCompatCache,2023-10-01 06:50:37.0323399
122,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\disksnapshot.exe,AppCompatCache,2022-05-07 05:19:23.8464768
123,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\tzsync.exe,AppCompatCache,2023-10-01 06:48:02.0498887
124,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\la57setup.exe,AppCompatCache,2022-05-07 05:19:38.6920001
125,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\dstokenclean.exe,AppCompatCache,2022-05-07 05:19:17.6882361
126,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\UCPDMgr.exe,AppCompatCache,2023-10-01 06:47:44.7986611
127,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\defrag.exe,AppCompatCache,2022-05-07 05:20:03.9984893
128,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\speech_onecore\common\SpeechModelDownload.exe,AppCompatCache,2023-10-01 06:48:37.5377641
